name,address,city,state,postal,latitude,longitude,website,facebook,twitter,instagram
The Barking Duck Brewing Co.,4400 Morris Park Dr,Mint Hill,NC,28227,35.18086,-80.643734,http://www.barkingduckbrew.com,,,
Birdsong Brewing Co.,1016 N. Davidson Street,Charlotte,NC,28205,35.230652,-80.826536,http://birdsongbrewing.com/web,https://www.facebook.com/birdsongbrewing,https://twitter.com/birdsongbrewing,https://www.instagram.com/birdsongbrewing
Blue Blaze Brewing,528 S. Turner Avenue,Charlotte,NC,28208,35.241765,-80.8672069,http://www.blueblazebrewing.com,https://www.facebook.com/BlueBlazeBrewing,https://twitter.com/BlueBlazeBrew,https://www.instagram.com/blueblazebrewing
Bold Missy Brewery,610 Anderson St,Charlotte,NC,28205,35.2492964,-80.7966386,http://boldmissybrewery.com,https://www.facebook.com/pg/BoldMissyBrewery,https://twitter.com/boldmissybrews,https://www.instagram.com/boldmissybrewery
Catawba Brewing Co.,933 Louise Avenue,Charlotte,NC,28204,35.2245307,-80.8203339,http://catawbabrewing.com/locations,https://www.facebook.com/catawbabrewingclt,https://twitter.com/catawbabeer_clt,https://www.instagram.com/catawbabrewing_clt
The Dreamweaver's Brewery,115 E North Main St,Waxhaw,NC,28173,34.9245935,-80.7434019,http://www.dreamchasersbrewery.com,,,
Free Range Brewing,2320 N Davidson St,Charlotte,NC,28205,35.240505,-80.8133063,http://www.freerangebrewing.com,https://www.facebook.com/FreeRangeBrewing,https://twitter.com/freerangebrew,https://www.instagram.com/freerangebrew
Heist Brewery,2909 N. Davidson Steet #200,Charlotte,NC,28205,35.245827,-80.808967,http://heistbrewery.com,https://www.facebook.com/HeistBrewery,https://twitter.com/heistbrewery,https://www.instagram.com/heistbrewery
Hyde Brewery,2911 Griffith St B,Charlotte,NC,28203,35.200445,-80.869092,http://www.thesuffolkpunch.com,,,
Legion Brewing,1906 Commonwealth Avenue,Charlotte,NC,28205,35.218387,-80.812963,http://legionbrewing.com,https://www.facebook.com/LegionBrewing,https://twitter.com/LegionBrewing,
Lenny Boy Brewing Co.,3000 S. Tryon St,Charlotte,NC,28217,35.208413,-80.865297,http://www.discoverlennyboy.com,https://www.facebook.com/LennyBoyBrewingCompany,https://twitter.com/lennyboybrew,https://www.instagram.com/lennyboybrewingco
NoDa Brewing Company,2921 N. Tryon St,Charlotte,NC,28026,35.25157,-80.812472,http://nodabrewing.com/tap-room,https://www.facebook.com/NoDaBrewingCompany,https://twitter.com/nodabrewing,https://www.instagram.com/nodabrewing
The Olde Mecklenburg Brewery,4150 Yancey Road,Charlotte,NC,28217,35.187442,-80.881973,http://www.oldemeckbrew.com,https://www.facebook.com/OldeMeckBrewery,https://twitter.com/oldemeckbrew,https://www.instagram.com/oldemeckbrew
Red Clay Ciderworks,245 Clanton Road,Charlotte,NC,28217,35.194471,-80.874864,http://www.redclayhardcider.com,https://www.facebook.com/redclayhardcider,https://twitter.com/RedClayCider,https://www.instagram.com/redclaycider
Resident Culture Brewing,2101 Central Avenue,Charlotte,NC,28205,35.2270869,-80.8431267,https://www.residentculture.com,https://www.facebook.com/ResidentCulture,https://twitter.com/residentculture,https://www.instagram.com/residentculture
Rock Bottom Restaurant & Brewery,401 N Tryon St Suite 100,Charlotte,NC,28202,35.230194,-80.839336,http://www.rockbottom.com/locations/charlotte,https://www.facebook.com/RBCharlotte,https://twitter.com/RockBottom,https://www.instagram.com/rockbottombrewery
Salud Beer Shop,3306-C N. Davidson St,Charlotte,NC,28205,35.2477994,-80.8040482,https://saludcerveceria.com,https://www.facebook.com/saludcerveceria,https://twitter.com/saludcerveceria?lang=en,
Seaboard Taproom & Wine Bar,213 N Trade St,Matthews,NC ,28105,35.1175931,-80.7213451,http://www.seaboardbrewing.com,,,
Southern Range Craft Beer & BBQ,151 S Stewart St,Monroe,NC,28112,34.9807206,-80.5510121,http://southernrangebrewing.com,,,
Sugar Creek Brewing Company,215 Southside Drive,Charlotte,NC,28217,35.1854212,-80.8809845,http://sugarcreekbrewing.com,https://www.facebook.com/sugarcreekbrew,https://twitter.com/sugarcreekbrew,https://www.instagram.com/sugarcreekbrewing
Sweet Union Brewing Company,13717 E Independence Blvd,Indian Trail,NC,28079,35.0853118,-80.6613229,http://www.sweetunionbrewing.com,,,
Sycamore Brewing,2161 Hawkins St,Charlotte,NC,28203,35.208721,-80.862753,http://sycamorebrew.com,https://www.facebook.com/SycamoreBrewing,https://twitter.com/sycamorebrewing,https://www.instagram.com/sycamorebrewing
Thirsty Nomad Brewing Co.,4402 Stuart Andrew Blvd Suite A,Charlotte,NC,28217,35.188365,-80.891133,https://www.thirstynomadbrewing.com/home,https://www.facebook.com/ThirstyNomadBrewing,https://twitter.com/thirstynomadco,https://www.instagram.com/thirstynomadbrewing
Three Spirits Brewery,5046 Old Pineville Road,Charlotte,NC,29217,35.1716594,-80.8793263,http://www.threespiritsbrewery.com,https://www.facebook.com/ThreeSpiritsBrewery,https://twitter.com/3SpiritsBrewery,
Triple C Brewing Company,2900 Griffith St,Charlotte,NC,28203,35.200972,-80.869119,http://www.triplecbrewing.com,https://www.facebook.com/Triple-C-Brewing-Company-298665250171614,https://twitter.com/TripleCBrew,https://www.instagram.com/triplecbrewing
The Unknown Brewing,1327 S Mint St,Charlotte,NC,28203,35.2205488,-80.8583586,http://www.unknownbrewing.com,https://www.facebook.com/unknownbrewing,https://twitter.com/UnknownBrewing,https://www.instagram.com/unknownbrewing
Wooden Robot Brewery,1440 S Tryon St #110,Charlotte,NC,28203,35.2166767,-80.856644,http://woodenrobotbrewery.com,https://www.facebook.com/WoodenRobotBrewery,https://twitter.com/woodenrobotale,https://www.instagram.com/woodenrobotbrewery